"StateFIPS","State","Year","Value","Data Comment",,"Age Group""Sex"
"50","Vermont","2022","17","",,"0 TO 4""Female"
"50","Vermont","2022","14","",,"5 TO 14""Male"
"50","Vermont","2022","6","",,"5 TO 14""Female"
"50","Vermont","2022","7","",,"15 TO 34""Male"
"50","Vermont","2022","12","",,"15 TO 34""Female"
"50","Vermont","2022","10","",,"35 TO 64""Male"
"50","Vermont","2022","22","",,"35 TO 64""Female"
"50","Vermont","2022","5","",,">= 65""Male"
"50","Vermont","2022","14","",,">= 65""Female"
"51","Virginia","2022","242","",,"0 TO 4""Male"
"51","Virginia","2022","131","",,"0 TO 4""Female"
"51","Virginia","2022","315","",,"5 TO 14""Male"
"51","Virginia","2022","219","",,"5 TO 14""Female"
"51","Virginia","2022","98","",,"15 TO 34""Male"
"51","Virginia","2022","194","",,"15 TO 34""Female"
"51","Virginia","2022","198","",,"35 TO 64""Male"
"51","Virginia","2022","561","",,"35 TO 64""Female"
"51","Virginia","2022","70","",,">= 65""Male"
"51","Virginia","2022","342","",,">= 65""Female"
"53","Washington","2022","177","",,"0 TO 4""Male"
"53","Washington","2022","100","",,"0 TO 4""Female"
"53","Washington","2022","171","",,"5 TO 14""Male"
"53","Washington","2022","210","",,"5 TO 14""Female"
"53","Washington","2022","101","",,"15 TO 34""Male"
"53","Washington","2022","230","",,"15 TO 34""Female"
"53","Washington","2022","62","",,"35 TO 64""Male"
"53","Washington","2022","234","",,"35 TO 64""Female"
"53","Washington","2022","55","",,">= 65""Male"
"53","Washington","2022","141","",,">= 65""Female"
"55","Wisconsin","2022","159","",,"0 TO 4""Male"
"55","Wisconsin","2022","127","",,"0 TO 4""Female"
"55","Wisconsin","2022","181","",,"5 TO 14""Male"
"55","Wisconsin","2022","123","",,"5 TO 14""Female"
"55","Wisconsin","2022","75","",,"15 TO 34""Male"
"55","Wisconsin","2022","113","",,"15 TO 34""Female"
"55","Wisconsin","2022","99","",,"35 TO 64""Male"
"55","Wisconsin","2022","256","",,"35 TO 64""Female"
"55","Wisconsin","2022","34","",,">= 65""Male"
"55","Wisconsin","2022","136","",,">= 65""Female"
